match_id,archive_id,n,mean,p10,p50,p90
117212895183030067,grid-3004388-m3,310,-8.126310395045161,-8.6435045824,-8.159570528,-7.554491583999999
117151111922858556,grid-2999024-m5,245,-8.04832285204898,-8.6361212416,-8.026192896,-7.5227871616
116996464901637011,grid-3005562-m3,351,-7.951141403532764,-8.446444096,-7.966752896,-7.39327712
116792888905448378,grid-2975628-m4,277,-7.7860341914801445,-8.2939100032,-7.867175872,-7.2205139584
116996464901637003,grid-3005569-m1,318,-7.689312713861636,-8.1211310912,-7.691795424,-7.1981959168000005
116793933806066957,grid-2965529-m1,333,-8.45468540578979,-9.0218350336,-8.487266816,-7.8435934464
117030752644841645,grid-2987006-m2,404,-7.98576806938614,-8.532430464,-8.007372,-7.4069715712
115548681803406323,grid-3002602-m2,393,-8.325772468274808,-8.953969407999999,-8.320536192,-7.710028518400001
115565004607949390,grid-3000372-m3,482,-8.380511205576763,-8.9550729216,-8.37690512,-7.8193126848
115565004607949402,grid-3000375-m3,351,-8.02829891865527,-8.540939968,-8.100370176,-7.4886272
116996464901702558,grid-3005570-m2,243,-7.839056319473251,-8.335868096,-7.88675904,-7.3461156352
116793933806066965,grid-2965530-m3,390,-7.877634556061539,-8.507615020800001,-7.819709504,-7.408921471999999
116792888905448363,grid-2975625-m1,260,-7.3463475104,-8.103745984,-7.332352095999999,-6.7169320448
116792888905448367,grid-2975625-m5,419,-13.125776992992842,-14.2969783808,-13.613276032,-8.7480445696
117030752644841608,grid-2987018-m1,416,-8.101935238923078,-8.688526944,-8.086684991999999,-7.578397568
117030752644841614,grid-2987019-m1,458,-8.174446372331877,-8.7044317568,-8.153213984,-7.7211835648
117030752644841618,grid-2987019-m5,219,-7.694726146922375,-8.264655833600001,-7.690527936,-7.1830667264
115548681803406292,grid-3002598-m1,570,-8.451567689992983,-9.0219954496,-8.450831968,-7.8736886976
115565671526403064,grid-2973272-m1,397,-7.974716582206549,-8.4608145536,-8.00868192,-7.445504
115564797163821176,grid-2964617-m1,291,-7.283773394694159,-7.844622976,-7.268614144,-6.701081984
115564797163886788,grid-2964620-m1,430,-7.8668796544,-8.362240652799999,-7.862301536,-7.3791772159999995
116793933806066935,grid-2965524-m3,315,-7.926718600736509,-8.3941611648,-7.934672896,-7.258091072
116996464901636979,grid-2991212-m1,369,-8.066459954471545,-8.5971550848,-8.05778304,-7.5736425088
116833506932324843,grid-2972363-m4,315,-7.880356276012699,-8.416145779199999,-7.900034112,-7.3154815615999995
117054582581341049,grid-2991213-m1,232,-7.594174264,-8.2030857984,-7.5480095679999994,-7.0180438528
117030752644841620,grid-2987021-m1,591,-7.563697981401015,-8.028679936,-7.620638976,-6.968448128
117030752644841627,grid-2987020-m2,336,-7.5350588165714285,-8.05399392,-7.537163968,-6.9825378879999995
117030752644841633,grid-2987004-m2,508,-8.379458366614173,-8.98387168,-8.335899584,-7.9002027584
116793933806066952,grid-2965528-m2,327,-7.605806046336391,-8.1121738624,-7.641763904,-7.0793329664
115548681803406306,grid-3002599-m3,239,-7.711291827682008,-8.2475584512,-7.759796864,-7.127816870399999
116837902961537594,grid-2968612-m3,241,-8.69447711787552,-9.159511232,-8.708885952,-8.149670784
115548681803406310,grid-3002600-m1,393,-7.842074116559798,-8.352001472,-7.828076032,-7.3355123968
115548681803406317,grid-3002601-m2,320,-9.514790607200002,-10.1193927936,-9.486027488,-8.7517756352
117030752644841638,grid-2987005-m1,690,-7.9694830769159415,-8.497557504,-7.980213952,-7.3995140096
115565004607949376,grid-2980509-m1,328,-7.6027422897560974,-8.158199398399999,-7.593698464,-7.0608372032
115565004607949383,grid-3000371-m2,463,-7.927646983326133,-8.4306344576,-7.916792832,-7.4381879424
115565671526403072,grid-2973273-m3,284,-7.537483229070423,-8.135757331199999,-7.493526592,-6.9596122112000005
115565671526403078,grid-2973274-m3,323,-6.841523195244583,-7.3898943616,-6.848848,-6.3919726976
116996464901636999,grid-3005560-m3,278,-6.96991223620144,-7.721223584,-6.913728000000001,-6.3270749248
116792888905448372,grid-2975627-m4,98,-7.802322048000001,-8.5112974976,-7.746272416,-7.420276057600001
117212895183030069,grid-3004388-m5,424,-7.509905252981132,-8.0957515392,-7.566595904,-6.9149718464
116837902961537604,grid-2968614-m1,353,-8.041049937223796,-8.51467328,-8.074396224,-7.4004408064
116792888905448375,grid-2975628-m1,363,-7.816630762666668,-8.4080356992,-7.841736896,-7.2452653312
116996464901637015,grid-3005563-m1,335,-7.714434141802984,-8.2831348096,-7.718245056,-7.2540728704
116996464901637004,grid-3005569-m2,278,-7.961979006388489,-8.5142404608,-7.99371808,-7.420179744
