trees,validation_mae_c
477,7.907835589476159
478,7.9079953324332015
479,7.908175026980406
480,7.90831869895239
481,7.908752812329016
482,7.908842088178048
483,7.908981534225138
484,7.90910000082622
485,7.9092764020352115
486,7.909398481147168
487,7.909599248804064
488,7.909797694370724
489,7.910060013153569
490,7.910069925935185
491,7.910435541727765
492,7.910528436550476
493,7.91063015419044
494,7.910725238539006
495,7.910942529351484
496,7.911036580768078
497,7.9112160453509786
498,7.911323005489089
499,7.911377831544677
500,7.911508007545636
501,7.9117067087275394
502,7.912002219973297
503,7.912217861215229
504,7.912329271784557
505,7.912430505373745
506,7.91260982442597
507,7.912662650243331
508,7.912766762802237
509,7.91285098824313
510,7.91310866803787
511,7.913045149797286
512,7.913162781787436
513,7.913283486935377
514,7.91355405598628
515,7.91354548087899
516,7.913618222314824
517,7.913820119514588
518,7.913817975479084
519,7.914092213139778
520,7.9141435537135845
521,7.914326912723503
522,7.914494985294844
523,7.914648280740185
524,7.914533879814635
525,7.914651377674045
526,7.9149504191664475
527,7.91525635844468
528,7.915296597854922
529,7.915582335628724
530,7.915602791648
531,7.915734711034958
532,7.915754698716659
533,7.916053120937608
534,7.916071857856561
535,7.916113453397113
536,7.916271154706102
537,7.916448839447734
538,7.916476815580105
539,7.916831596212013
540,7.917102173403038
541,7.917212150742943
542,7.917460208460279
543,7.917489315566339
544,7.917818016425702
545,7.9176495132479525
546,7.917539708720975
547,7.917865036273051
548,7.917841730402565
549,7.917828380067352
550,7.917878351846945
551,7.918036187340652
552,7.917982988524814
553,7.9178172085645055
554,7.917867028436329
555,7.9177277233948145
556,7.917628642404033
557,7.917711697787892
558,7.918074375773088
559,7.918403725009497
560,7.918473657627143
561,7.918414694784262
562,7.918431306338094
563,7.918488140588756
564,7.918439324902916
565,7.91828051487557
566,7.918409919982704
567,7.918329452838141
568,7.918230581832771
569,7.918641742436945
570,7.918639333856202
571,7.918712343371779
572,7.919137397518162
573,7.919203966731144
574,7.919244159876528
575,7.919137778339914
576,7.919210608273588
577,7.91958584091919
578,7.919587361714668
579,7.919910192175611
580,7.919901356397154
581,7.920192018680227
582,7.920253518369639
583,7.920253257041569
584,7.920660809363143
585,7.920706401048913
586,7.920959882299103
587,7.920886644041776
588,7.920964777597225
589,7.920946788411451
590,7.920912604576398
591,7.921022313793448
592,7.9210262803503335
593,7.92106687655389
594,7.921092043656842
595,7.921114548674835
596,7.921267463517266
597,7.921319756379004
598,7.921247673116237
599,7.921335283444248
600,7.921608979469847
