match,second,live_prior,ds_prior,delta_live_prior,delta_ds_prior
grid-2964617-m1,1174,0.49,0.44,0.007781866471395535,0.02960170658207826
grid-2964617-m1,1174,0.49,0.44,0.007781866471395535,0.02960170658207826
grid-2964617-m1,1174,0.49,0.44,0.007781866471395535,0.02960170658207826
grid-2964617-m1,1183,0.49,0.44,0.02257428168182541,0.042877993068636294
grid-2964617-m1,1191,0.49,0.44,-0.000920861524292808,0.022635712748742008
grid-2964617-m1,1193,0.49,0.44,-0.001109749267992553,0.022499325008991072
grid-2964617-m1,1194,0.49,0.44,-0.000945183843221607,0.02266389043376201
grid-2964617-m1,1195,0.49,0.44,0.0014466760823107928,0.024842840889661506
grid-2964617-m1,1195,0.49,0.44,0.0014466760823107928,0.024842840889661506
grid-2964617-m1,1199,0.49,0.44,0.0007433669338941862,0.024139531741244898
grid-2964617-m1,1205,0.49,0.44,0.005345660795788408,0.028741825603139128
grid-2964617-m1,1209,0.49,0.44,0.005084541641664178,0.028480706449014896
grid-2964617-m1,1210,0.49,0.44,0.005084541641664178,0.028480706449014896
grid-2964617-m1,1211,0.49,0.44,0.005084541641664178,0.028480706449014896
grid-2964617-m1,1240,0.49,0.44,0.003298444058104484,0.028849882704587475
grid-2964617-m1,1242,0.49,0.44,0.003298444058104484,0.028849882704587475
grid-2964617-m1,1248,0.49,0.44,-0.0005884909078456114,0.02496294773863738
grid-2964617-m1,1250,0.49,0.44,-0.0005603132228256026,0.024991125423657386
grid-2964617-m1,1252,0.49,0.44,-0.0008927832610688939,0.024855954873687434
grid-2964617-m1,1259,0.49,0.44,-0.0015960924094854992,0.024152645725270826
grid-2964617-m1,1268,0.49,0.44,-0.0008927832610688939,0.024855954873687434
grid-2964617-m1,1273,0.49,0.44,-0.0008927832610688939,0.024855954873687434
grid-2964617-m1,1273,0.49,0.44,-0.0008927832610688939,0.024855954873687434
grid-2964617-m1,1287,0.49,0.44,-0.0007563955213179567,0.024992342613438374
grid-2964617-m1,1290,0.49,0.44,-0.0007563955213179567,0.024992342613438374
grid-2964617-m1,1298,0.49,0.44,-0.0015960924094854992,0.024152645725270826
grid-2964617-m1,1305,0.49,0.44,-0.0015960924094854992,0.024152645725270826
grid-2964617-m1,1311,0.49,0.44,-0.001451292925160968,0.024152645725270826
grid-2964617-m1,1317,0.49,0.44,-0.0014119069052380918,0.024139531741244898
grid-2964617-m1,1324,0.49,0.44,0.0014466760823107928,0.024842840889661506
grid-2964617-m1,1324,0.49,0.44,0.0014466760823107928,0.024842840889661506
grid-2964617-m1,1330,0.49,0.44,0.0047088652253386,0.028105030032689316
grid-2964617-m1,1331,0.49,0.44,0.0047088652253386,0.028105030032689316
grid-2964617-m1,1336,0.49,0.44,0.0047088652253386,0.028105030032689316
grid-2964617-m1,1337,0.49,0.44,0.0047088652253386,0.028105030032689316
grid-2964617-m1,1339,0.49,0.44,0.002794862964246154,0.02500740631443245
grid-2964617-m1,1340,0.49,0.44,-0.0006831669846614248,0.021676063705811578
grid-2964617-m1,1342,0.49,0.44,-0.0006831669846614248,0.021676063705811578
grid-2964617-m1,1346,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1347,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1347,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1350,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1352,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1353,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1359,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1361,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1361,0.49,0.44,-0.001866788441825841,0.021676063705811578
grid-2964617-m1,1363,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1375,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1379,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1383,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1384,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1384,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1385,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1386,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1386,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1391,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1397,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1400,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1403,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1418,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1418,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1422,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1446,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1453,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1454,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1454,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1454,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1455,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1455,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1456,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1456,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1457,0.49,0.44,-0.0024843202074922724,0.020604589135827255
grid-2964617-m1,1459,0.49,0.44,-0.003252372024726316,0.019836537318593212
grid-2964617-m1,1461,0.49,0.44,-0.002799192304333606,0.0198647170438288
grid-2964617-m1,1466,0.49,0.44,-0.002799192304333606,0.0198647170438288
grid-2964617-m1,1466,0.49,0.44,-0.002799192304333606,0.0198647170438288
grid-2964617-m1,1467,0.49,0.44,-0.002799192304333606,0.0198647170438288
grid-2964617-m1,1472,0.49,0.44,-0.00028927342520106,0.02225349042467543
grid-2964617-m1,1474,0.49,0.44,-0.0014277409997289138,0.022111729096036963
grid-2964617-m1,1485,0.49,0.44,-9.11622621348412e-05,0.02344830783363104
grid-2964617-m1,1487,0.49,0.44,-0.002243246639060361,0.021296223456705517
grid-2964617-m1,1487,0.49,0.44,-0.002243246639060361,0.021296223456705517
grid-2964617-m1,1487,0.49,0.44,-0.002243246639060361,0.021296223456705517
grid-2964617-m1,1487,0.49,0.44,-0.0020786812142894163,0.02146078888147646
grid-2964617-m1,1489,0.49,0.44,-0.002243246639060361,0.021296223456705517
grid-2964617-m1,1489,0.49,0.44,-0.002243246639060361,0.021296223456705517
grid-2964617-m1,1490,0.49,0.44,-0.002106858899309424,0.021432611196456453
grid-2964617-m1,1493,0.49,0.44,-0.004000614547922722,0.019748302265598656
grid-2964617-m1,1493,0.49,0.44,-0.0031982571610766875,0.02042951415415878
grid-2964617-m1,1507,0.49,0.44,-0.002773241134478156,0.02085453018075731
grid-2964617-m1,1508,0.49,0.44,-0.002773241134478156,0.02085453018075731
grid-2964617-m1,1514,0.49,0.44,-0.0033909862796418127,0.020661785030750775
grid-2964617-m1,1517,0.49,0.44,-0.0033909862796418127,0.020661785030750775
grid-2964617-m1,1518,0.49,0.44,-0.002937806559249101,0.020689964755986365
grid-2964617-m1,1525,0.49,0.44,-0.002773241134478156,0.02085453018075731
grid-2964617-m1,1535,0.49,0.44,-0.00372287013416114,0.02002604667936024
grid-2964617-m1,1537,0.49,0.44,-0.0028014188194981637,0.0208263524957373
grid-2964617-m1,1543,0.49,0.44,-0.002937806559249101,0.020689964755986365
grid-2964617-m1,1543,0.49,0.44,-0.002937806559249101,0.020689964755986365
grid-2964617-m1,1548,0.49,0.44,-0.002773241134478156,0.02085453018075731
grid-2964617-m1,1565,0.49,0.44,-0.00372287013416114,0.02002604667936024
grid-2964617-m1,1567,0.49,0.44,-0.00372287013416114,0.02002604667936024
grid-2964617-m1,1569,0.49,0.44,-0.00372287013416114,0.02002604667936024
