match,second,model,fair_live,fair_replay,err
grid-2964617-m1,554,20260904T193238Z,0.4963338081861374,0.4963338081861374,0.0
grid-2964617-m1,556,20260904T193238Z,0.5039906662164866,0.5039906662164866,0.0
grid-2964617-m1,556,20260904T193238Z,0.5016718467254915,0.5016718467254915,0.0
grid-2964617-m1,558,20260904T193238Z,0.4940149886951424,0.4940149886951424,0.0
grid-2964617-m1,568,20260904T193238Z,0.5140149886951424,0.5140149886951424,0.0
grid-2964617-m1,573,20260904T193238Z,0.5340149886951424,0.5340149886951424,0.0
grid-2964617-m1,584,20260904T193238Z,0.5482582151622146,0.5482582151622146,0.0
grid-2964617-m1,587,20260904T193238Z,0.5682582151622146,0.5682582151622146,0.0
grid-2964617-m1,595,20260904T193238Z,0.5681938309036559,0.5681938309036559,0.0
grid-2964617-m1,601,20260904T193238Z,0.5631938309036559,0.5631938309036559,0.0
grid-2964617-m1,603,20260904T193238Z,0.5732932646623227,0.5732932646623227,0.0
grid-2964617-m1,604,20260904T193238Z,0.5631938309036559,0.5631938309036559,0.0
grid-2964617-m1,611,20260904T193238Z,0.5825669251681084,0.5825669251681084,0.0
grid-2964617-m1,615,20260904T193238Z,0.5768815601934597,0.5768815601934597,0.0
grid-2964617-m1,629,20260904T193238Z,0.5514052167444166,0.5514052167444166,0.0
grid-2964617-m1,660,20260904T193238Z,0.5735914257707653,0.5735914257707653,0.0
grid-2964617-m1,664,20260904T193238Z,0.5582582151622146,0.5582582151622146,0.0
grid-2964617-m1,677,20260904T193238Z,0.5713338081861374,0.5713338081861374,0.0
grid-2964617-m1,679,20260904T193238Z,0.5763338081861374,0.5763338081861374,0.0
grid-2964617-m1,686,20260904T193238Z,0.5687137491372424,0.5687137491372424,0.0
grid-2964617-m1,687,20260904T193238Z,0.5589939763072539,0.5589939763072539,0.0
grid-2964617-m1,690,20260904T193238Z,0.6114185515384135,0.6114185515384135,0.0
grid-2964617-m1,692,20260904T193238Z,0.7099672998971213,0.7099672998971213,0.0
grid-2964617-m1,693,20260904T193238Z,0.7299672998971213,0.7299672998971213,0.0
grid-2964617-m1,700,20260904T193238Z,0.7577030112101933,0.7577030112101933,0.0
grid-2964617-m1,701,20260904T193238Z,0.7227030112101933,0.7227030112101933,0.0
grid-2964617-m1,704,20260904T193238Z,0.6944075580385636,0.6944075580385636,0.0
grid-2964617-m1,716,20260904T193238Z,0.7276828374756819,0.7276828374756819,0.0
grid-2964617-m1,717,20260904T193238Z,0.7276828374756819,0.7276828374756819,0.0
grid-2964617-m2,81,20260904T193238Z,0.5724930297600461,0.5724930297600461,0.0
grid-2964617-m2,89,20260904T193238Z,0.5660336298259786,0.5660336298259786,0.0
grid-2964617-m2,96,20260904T193238Z,0.5498170754642735,0.5498170754642735,0.0
grid-2964617-m2,103,20260904T193238Z,0.5536518629042436,0.5536518629042436,0.0
grid-2964617-m2,104,20260904T193238Z,0.5536518629042436,0.5536518629042436,0.0
grid-2964617-m2,105,20260904T193238Z,0.5536518629042436,0.5536518629042436,0.0
grid-2964617-m2,105,20260904T193238Z,0.5536518629042436,0.5536518629042436,0.0
grid-2964617-m2,114,20260904T193238Z,0.584354826993102,0.584354826993102,0.0
grid-2964617-m2,115,20260904T193238Z,0.5931718363538495,0.5931718363538495,0.0
grid-2964617-m2,121,20260904T193238Z,0.5890291812050921,0.5890291812050921,0.0
grid-2964617-m2,121,20260904T193238Z,0.5890291812050921,0.5890291812050921,0.0
grid-2964617-m2,122,20260904T193238Z,0.5883019523735744,0.5883019523735744,0.0
grid-2964617-m2,126,20260904T193238Z,0.5890291812050921,0.5890291812050921,0.0
grid-2964617-m2,126,20260904T193238Z,0.5864083300134294,0.5864083300134294,0.0
grid-2964617-m2,136,20260904T193238Z,0.589631236287917,0.589631236287917,0.0
grid-2964617-m2,156,20260904T193238Z,0.5886999452635252,0.5886999452635252,0.0
grid-2964617-m2,156,20260904T193238Z,0.5886999452635252,0.5886999452635252,0.0
grid-2964617-m2,157,20260904T193238Z,0.5886999452635252,0.5886999452635252,0.0
grid-2964617-m2,161,20260904T193238Z,0.5821637938184792,0.5821637938184792,0.0
grid-2964617-m2,161,20260904T193238Z,0.5798486988816146,0.5798486988816146,0.0
grid-2964617-m2,164,20260904T193238Z,0.5852285582548479,0.5852285582548479,0.0
grid-2964617-m2,165,20260904T193238Z,0.5852285582548479,0.5852285582548479,0.0
grid-2964617-m2,166,20260904T193238Z,0.5815617387356543,0.5815617387356543,0.0
grid-2964617-m2,172,20260904T193238Z,0.5814083300134295,0.5814083300134295,0.0
grid-2964617-m2,175,20260904T193238Z,0.5846576186741379,0.5846576186741379,0.0
grid-2964617-m2,181,20260904T193238Z,0.5993648314464662,0.5993648314464662,0.0
grid-2964617-m2,196,20260904T193238Z,0.7253688488719732,0.7253688488719732,0.0
grid-2964617-m2,207,20260904T193238Z,0.7079208977358394,0.7079208977358394,0.0
grid-2964617-m2,208,20260904T193238Z,0.7113498417243311,0.7113498417243311,0.0
grid-2964617-m2,213,20260904T193238Z,0.7162227955400444,0.7162227955400444,0.0
grid-2964617-m2,220,20260904T193238Z,0.7355503822194102,0.7355503822194102,0.0
grid-2964617-m2,221,20260904T193238Z,0.7405503822194102,0.7405503822194102,0.0
grid-2964617-m2,223,20260904T193238Z,0.7355843035244001,0.7355843035244001,0.0
grid-2964617-m2,225,20260904T193238Z,0.7350324322126469,0.7350324322126469,0.0
grid-2964617-m2,229,20260904T193238Z,0.7392159760349585,0.7392159760349585,0.0
