match,xp_step_offset,n,sd
grid-3002600-m4,3.0,39,2.1449756285501924
grid-3002600-m5,2.0,37,8.38430479152013
grid-3002601-m2,1.0,36,2.0067401856841123
grid-3002601-m3,3.0,39,4.606829678251427
grid-3002601-m4,3.0,31,0.6704712803492427
grid-3002601-m5,2.0,39,0.6745100737418412
grid-3002602-m1,2.0,36,2.4309920243024705
grid-3002602-m2,2.0,38,2.3181805837416043
grid-3002602-m3,3.0,31,0.8249491517770594
grid-3002602-m4,3.0,35,1.4944796377853737
grid-3002603-m1,2.0,36,8.590611800745691
grid-3002603-m2,3.0,25,0.9499473669630334
grid-3002603-m3,3.0,40,2.0172691937369196
grid-3004386-m1,3.0,38,0.7663273567663702
grid-3004386-m2,2.0,33,0.5749595745760688
grid-3004386-m3,3.0,44,1.3164173143249618
grid-3004386-m4,2.0,35,0.7698396334461418
grid-3004388-m1,2.0,30,1.6799470891138875
grid-3004388-m2,3.0,37,0.9053045526726607
grid-3004388-m3,2.0,34,0.7853547013422758
grid-3004388-m4,0.0,42,2.246690688016276
grid-3004388-m5,3.0,42,7.077158172632114
grid-3005559-m1,2.0,44,7.095387571753105
grid-3005559-m2,3.5,8,10.905847055593618
grid-3005559-m3,3.0,49,0.7278593673521228
grid-3005560-m1,2.0,45,0.7837863150465955
grid-3005560-m2,3.0,46,3.4493362557041234
grid-3005560-m3,3.0,38,0.6641804981117876
grid-3005562-m1,2.0,36,0.9824855102126331
grid-3005562-m2,3.0,30,0.9213516640723501
grid-3005562-m3,2.0,32,1.0588171466310885
grid-3005563-m1,3.0,34,0.8447886244908864
grid-3005563-m2,2.0,37,4.91758223596514
grid-3005563-m3,2.0,40,1.8914280319377736
grid-3005563-m4,3.0,33,1.3278122606185845
grid-3005569-m1,2.5,40,0.7310095758606723
grid-3005569-m2,3.0,36,5.092584175077219
grid-3005569-m3,3.0,45,1.3498971154211057
grid-3005570-m1,2.0,47,0.7966657543340023
grid-3005570-m2,3.0,33,1.9356023542631893
grid-3005570-m3,2.0,39,0.7571704133453026
grid-3005570-m4,2.0,42,1.8706771786109873
