game,rule,latency_s,mode,day,delta
lol,stop_3c,5,all_at_bid,2026-09-09,15.815125152593255
lol,stop_3c,5,all_at_bid,2026-09-10,28.40586956678305
lol,stop_3c,5,all_at_bid,2026-09-11,-12.682840310552505
lol,stop_3c,5,all_at_bid,2026-09-12,-0.6820589744116811
lol,stop_3c,5,top_only,2026-09-07,4.336768653732537
lol,stop_3c,5,top_only,2026-09-08,-5.806614086730339
lol,stop_3c,5,top_only,2026-09-09,5.407399627481004
lol,stop_3c,5,top_only,2026-09-10,-5.141078199886612
lol,stop_3c,5,top_only,2026-09-11,-7.929413517746503
lol,stop_3c,5,top_only,2026-09-12,-0.6820589744116811
lol,stop_5c,5,all_at_bid,2026-09-07,14.105810487889007
lol,stop_5c,5,all_at_bid,2026-09-08,-14.037715111933998
lol,stop_5c,5,all_at_bid,2026-09-09,-20.302875637841243
lol,stop_5c,5,all_at_bid,2026-09-10,35.802139270861545
lol,stop_5c,5,all_at_bid,2026-09-11,-12.299571780552505
lol,stop_5c,5,all_at_bid,2026-09-12,-0.898036197141683
lol,stop_5c,5,top_only,2026-09-07,6.926709911666587
lol,stop_5c,5,top_only,2026-09-08,-2.619210729230337
lol,stop_5c,5,top_only,2026-09-09,-20.302875637841243
lol,stop_5c,5,top_only,2026-09-10,-1.2220555302088134
lol,stop_5c,5,top_only,2026-09-11,-6.721545317764499
lol,stop_5c,5,top_only,2026-09-12,-0.898036197141683
lol,stop_8c,5,all_at_bid,2026-09-07,16.05085286600901
lol,stop_8c,5,all_at_bid,2026-09-08,-0.30336918250000044
lol,stop_8c,5,all_at_bid,2026-09-09,-27.65150429784125
lol,stop_8c,5,all_at_bid,2026-09-10,26.06762112379
lol,stop_8c,5,all_at_bid,2026-09-11,-3.842559527392498
lol,stop_8c,5,all_at_bid,2026-09-12,-0.9800880221099999
lol,stop_8c,5,top_only,2026-09-07,7.462449446666587
lol,stop_8c,5,top_only,2026-09-08,-0.30336918250000044
lol,stop_8c,5,top_only,2026-09-09,-27.651504297841246
lol,stop_8c,5,top_only,2026-09-10,0.6706227701323919
lol,stop_8c,5,top_only,2026-09-11,-3.3146145771044973
lol,stop_8c,5,top_only,2026-09-12,-0.8826574807199998
lol,loss_10pct,5,all_at_bid,2026-09-07,18.451220307868997
lol,loss_10pct,5,all_at_bid,2026-09-08,-8.531466988094001
lol,loss_10pct,5,all_at_bid,2026-09-09,-5.55555287522899
lol,loss_10pct,5,all_at_bid,2026-09-10,32.133352075633795
lol,loss_10pct,5,all_at_bid,2026-09-11,-12.162693433052505
lol,loss_10pct,5,all_at_bid,2026-09-12,-0.5757932654430002
lol,loss_10pct,5,top_only,2026-09-07,3.776488653732536
lol,loss_10pct,5,top_only,2026-09-08,-3.8587966750000016
lol,loss_10pct,5,top_only,2026-09-09,-15.963278400341242
lol,loss_10pct,5,top_only,2026-09-10,-1.7048955952088138
lol,loss_10pct,5,top_only,2026-09-11,-7.7783379502645
lol,loss_10pct,5,top_only,2026-09-12,-0.5757932654430002
lol,losing_300s,5,all_at_bid,2026-09-07,0.0
lol,losing_300s,5,all_at_bid,2026-09-08,-12.581448779853998
lol,losing_300s,5,all_at_bid,2026-09-09,-16.343012493846263
lol,losing_300s,5,all_at_bid,2026-09-10,21.340368596525003
lol,losing_300s,5,all_at_bid,2026-09-11,0.0
lol,losing_300s,5,all_at_bid,2026-09-12,0.0
lol,losing_300s,5,top_only,2026-09-07,0.0
lol,losing_300s,5,top_only,2026-09-08,-3.2280149075000004
lol,losing_300s,5,top_only,2026-09-09,-5.867424000000003
lol,losing_300s,5,top_only,2026-09-10,3.1471060000000026
lol,losing_300s,5,top_only,2026-09-11,0.0
lol,losing_300s,5,top_only,2026-09-12,0.0
lol,loss_15pct,5,all_at_bid,2026-09-07,13.151157871009008
lol,loss_15pct,5,all_at_bid,2026-09-08,-13.147534145853998
lol,loss_15pct,5,all_at_bid,2026-09-09,-31.320307156346257
lol,loss_15pct,5,all_at_bid,2026-09-10,34.414962000455
lol,loss_15pct,5,all_at_bid,2026-09-11,-7.863018873338002
lol,loss_15pct,5,all_at_bid,2026-09-12,-0.9800880221099999
lol,loss_15pct,5,top_only,2026-09-07,6.444789911666588
lol,loss_15pct,5,top_only,2026-09-08,-2.1711231825
lol,loss_15pct,5,top_only,2026-09-09,-24.73986502250001
lol,loss_15pct,5,top_only,2026-09-10,-1.6242839270631082
lol,loss_15pct,5,top_only,2026-09-11,-5.868306080838001
lol,loss_15pct,5,top_only,2026-09-12,-0.9800880221099999
lol,loss_20pct,5,all_at_bid,2026-09-07,11.411503856009007
lol,loss_20pct,5,all_at_bid,2026-09-08,0.0
lol,loss_20pct,5,all_at_bid,2026-09-09,0.0
lol,loss_20pct,5,all_at_bid,2026-09-10,18.261704653989998
lol,loss_20pct,5,all_at_bid,2026-09-11,-1.8787283899999994
lol,loss_20pct,5,all_at_bid,2026-09-12,-0.5367877800000009
lol,loss_20pct,5,top_only,2026-09-07,5.892777079166583
lol,loss_20pct,5,top_only,2026-09-08,0.0
lol,loss_20pct,5,top_only,2026-09-09,0.0
lol,loss_20pct,5,top_only,2026-09-10,40.47568164473238
lol,loss_20pct,5,top_only,2026-09-11,-1.8787283899999994
lol,loss_20pct,5,top_only,2026-09-12,-0.5367877800000009
lol,losing_480s,5,all_at_bid,2026-09-07,0.0
lol,losing_480s,5,all_at_bid,2026-09-08,-0.752918897499999
lol,losing_480s,5,all_at_bid,2026-09-09,0.0
lol,losing_480s,5,all_at_bid,2026-09-10,-9.498565774374995
lol,losing_480s,5,all_at_bid,2026-09-11,0.0
lol,losing_480s,5,all_at_bid,2026-09-12,0.0
lol,losing_480s,5,top_only,2026-09-07,0.0
lol,losing_480s,5,top_only,2026-09-08,-0.752918897499999
lol,losing_480s,5,top_only,2026-09-09,0.0
lol,losing_480s,5,top_only,2026-09-10,-6.224000000000004
lol,losing_480s,5,top_only,2026-09-11,0.0
lol,losing_480s,5,top_only,2026-09-12,0.0
lol,reverse_2signals,5,all_at_bid,2026-09-07,0.0
lol,reverse_2signals,5,all_at_bid,2026-09-08,0.0
lol,reverse_2signals,5,all_at_bid,2026-09-09,0.0
lol,reverse_2signals,5,all_at_bid,2026-09-10,-2.0397460500159976
lol,reverse_2signals,5,all_at_bid,2026-09-11,0.0
lol,reverse_2signals,5,all_at_bid,2026-09-12,-0.03976193250000026
lol,reverse_2signals,5,top_only,2026-09-07,0.0
lol,reverse_2signals,5,top_only,2026-09-08,0.0
lol,reverse_2signals,5,top_only,2026-09-09,0.0
lol,reverse_2signals,5,top_only,2026-09-10,-0.11334397986761147
lol,reverse_2signals,5,top_only,2026-09-11,0.0
lol,reverse_2signals,5,top_only,2026-09-12,-0.03976193250000026
