match_id,game,feed_source,joined_at_utc,tournament,teams_radiant,teams_dire,map_number,yes_is_radiant,fills,buy_fills,sell_fills,buy_notional,sell_notional,net,net_source,pnl_per_buy_notional,fill_outcomes,unknown_token_fills,first_entry_second,clip_buy_quote_median,clip_buy_quote_p90,clip_quote_count,hold_seconds_weighted_mean,hold_seconds_median_allocation,sell_matched_buy_shares,first_model_second,signal_rows,signal_gap_median_s,signal_gap_p90_s,signal_gap_gt5_s,signal_gap_gt10_s,signal_wall_offset_s,fill_offset_range_s,fill_offset_mad_s
grid-2996035-m3,dota,grid,2026-09-09T14:05:58.637843+00:00,<missing>,MOUZ,HULIGANI,3,True,13,9,4,443.364827,465.6178,22.252973000000033,session_end cash+inventory,0.05019111044638648,"no,yes",0,93,100.0002,100.002,54,37.285167542391164,33.096,904.753334,41,1053,3.0,9.0,249,69,74.13300000000001,"[70.15899999999999, 84.17399999999998]",3.0349999999999966
grid-2996036-m1,dota,grid,2026-09-09T17:37:34.534591+00:00,<missing>,Team Synapse,Klim Sani4,1,False,12,8,4,364.806041,373.36099999999993,8.554958999999982,session_end cash+inventory,0.0234507054119753,no,0,436,99.9994,100.0019,22,31.105180943604793,34.987,771.7499999999998,55,543,3.0,10.0,138,43,120.04050000000001,"[110.0, 136.034]",1.9984999999999786
grid-2996036-m2,dota,grid,2026-09-09T18:47:41.471757+00:00,<missing>,Team Synapse,Klim Sani4,2,False,6,1,5,100.00200000000001,99.99499999999999,-0.00700000000001566,session_end cash+inventory,-6.999860002815603e-05,yes,0,239,100.00125,100.0032,8,12.624209073187195,13.001,142.850001,97,573,3.0,10.0,147,43,60.047000000000025,"[59.06400000000002, 62.03399999999999]",0.016999999999995907
grid-2996036-m3,dota,grid,2026-09-09T19:52:32.699025+00:00,<missing>,Team Synapse,Klim Sani4,3,False,13,6,7,400.006767,457.09749999999997,57.090732999999986,session_end cash+inventory,0.14272441795965912,yes,0,132,100.00200000000001,100.00349999999999,46,274.22583831903836,330.997,561.7642119999999,50,536,4.0,12.0,157,59,5.043999999999983,"[2.0330000000000155, 16.050999999999988]",2.9750000000000227
grid-2996037-m1,dota,grid,2026-09-09T21:02:34.027686+00:00,EPL Masters II (Playoffs),MOUZ,Klim Sani4,1,True,6,2,4,200.00080000000003,205.4816,5.4807999999999595,session_end cash+inventory,0.027403890384438256,yes,0,53,100.0,100.0019,19,133.73544906572963,29.052,396.070197,49,359,4.0,15.0,116,54,76.0365,"[63.03800000000001, 85.088]",9.013000000000005
grid-2996037-m2,dota,grid,2026-09-09T22:18:37.776029+00:00,<missing>,MOUZ,Klim Sani4,2,True,17,9,8,416.30453900000003,404.04729999999995,-12.25723900000012,session_end cash+inventory,-0.029442962667289387,yes,0,160,99.99990000000001,100.002,35,93.62115997030007,92.965,908.040911,47,454,4.0,19.0,156,85,232.07999999999998,"[231.031, 250.084]",1.0459999999999923
grid-2996037-m3,dota,grid,2026-09-09T23:35:35.722109+00:00,<missing>,MOUZ,Klim Sani4,3,True,11,7,4,393.926803,377.91239999999993,-16.014403000000055,session_end cash+inventory,-0.04065324542031747,yes,0,222,100.0,100.001,34,226.82322716259443,231.974,713.0418870000001,64,731,5.0,17.0,286,142,83.03500000000003,"[66.0, 88.04700000000003]",5.0120000000000005
grid-2996948-m1,lol,grid,2026-09-01T16:08:25.604527+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),Karmine Corp Blue,TLN Pirates,1,False,8,5,3,34.479396,27.2086,-7.270796000000001,session_end cash+inventory,-0.21087364755461493,"no,yes",0,101,100.0017,100.00200000000001,3,240.39473846371146,258.50292,69.03,80,426,3.0,14.0,120,55,257.603299,"[256.15482699999995, 258.06037000000003]",0.30632749999998055
grid-2996948-m2,lol,grid,2026-09-01T17:08:52.349324+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),Karmine Corp Blue,TLN Pirates,2,False,14,3,11,124.4268,115.48369799999999,-8.943101999999993,session_end cash+inventory,-0.07187440326360553,"no,yes",0,233,100.001,100.002,10,65.77043748976077,59.435142,270.957671,83,528,3.0,10.0,101,38,11.377136000000007,"[8.493950999999981, 17.19307500000002]",1.7930959999999914
grid-2996948-m3,lol,grid,2026-09-01T18:02:45.733213+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),Karmine Corp Blue,TLN Pirates,3,False,15,3,12,299.9971,271.950996,-28.04610400000002,session_end cash+inventory,-0.0934879170498649,"no,yes",0,190,99.99950000000001,100.0008,6,158.1295485136666,59.438505,640.383593,94,370,4.0,14.0,105,48,11.757210999999984,"[8.57187799999997, 21.865683999999987]",2.476951999999983
grid-2996948-m4,lol,grid,2026-09-01T18:57:58.381831+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),TLN Pirates,Karmine Corp Blue,4,True,13,3,10,211.05020000000002,215.063699,4.013499000000012,session_end cash+inventory,0.019016797899267624,"no,yes",0,131,100.001,100.00359999999999,7,64.63231311337417,94.9800515,430.778094,87,364,4.0,13.0,102,51,13.639340000000004,"[8.69524100000001, 23.37742400000002]",2.3571090000000083
grid-2996948-m5,lol,grid,2026-09-01T19:50:12.407008+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),Karmine Corp Blue,TLN Pirates,5,False,15,2,13,200.0014,161.679191,-38.32220899999999,session_end cash+inventory,-0.1916097037320738,"no,yes",0,128,100.0007,100.002,2,190.37848946166028,198.783657,384.05333399999995,76,383,4.0,14.0,113,54,16.795695999999992,"[8.38270799999998, 25.744080999999994]",3.0727179999999805
grid-2996949-m1,lol,grid,2026-09-02T16:08:53.491087+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),TLN Pirates,Galions,1,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,80,393,3.0,13.0,100,42,8.0,[],
grid-2996949-m2,lol,grid,2026-09-02T17:00:32.419370+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),Galions,TLN Pirates,2,True,8,4,4,238.366771,196.917299,-41.449471999999986,session_end cash+inventory,-0.17388947220332143,yes,0,129,100.00299999999999,100.00380000000001,8,162.02741361269128,177.042,326.20515000000006,79,592,3.0,12.0,124,57,1.680499999999995,"[0.06999999999999318, 17.105000000000018]",1.1239999999999952
grid-2996949-m4,lol,grid,2026-09-02T18:50:19.795537+00:00,La Ligue Française - Summer 2026 (Playoffs: Playoffs),TLN Pirates,Galions,4,False,7,3,4,48.151447,47.524100000000004,-0.6273469999999968,session_end cash+inventory,-0.01302862196436167,yes,0,165,30.0024,30.0025,7,61.005121713852375,55.06,79.12,81,462,2.0,9.0,73,27,737.105,"[736.148, 749.079]",0.9569999999999936
grid-2998724-m1,lol,grid,2026-09-02T13:17:08.983373+00:00,Hellenic Legends League - Summer 2026 (Playoffs: Playoffs),Team Phantasma,WLGaming,1,False,5,2,3,200.9017,198.39639800000003,-3.885301999999985,session_end cash+inventory,-0.019339318681723377,no,0,178,199.99984999999998,200.0017,16,132.65894275362731,146.9,300.50969499999997,78,294,4.0,16.0,94,42,627.03,"[338.12800000000004, 746.0]",89.89999999999998
grid-2998724-m3,lol,grid,2026-09-02T15:20:48.918380+00:00,Hellenic Legends League - Summer 2026 (Playoffs: Playoffs),WLGaming,Team Phantasma,3,True,8,3,5,400.59700000000004,363.48289800000003,-37.69910200000001,session_end cash+inventory,-0.09410729985496648,no,0,199,200.0016,200.0025,12,151.19104301666758,141.973,530.594704,50,509,3.0,8.0,94,27,133.58050000000003,"[130.149, 619.0]",2.9555000000000007
grid-2998724-m4,lol,grid,2026-09-02T16:12:52.667206+00:00,Hellenic Legends League - Summer 2026 (Playoffs: Playoffs),Team Phantasma,WLGaming,4,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,82,455,3.0,11.0,101,44,8.0,[],
grid-2999024-m1,lol,grid,2026-09-10T18:16:29.661881+00:00,Liga Portuguesa - Summer 2026 (Playoffs: Playoffs),Bubliki,Dominion Goblins,1,True,12,10,2,42.244218000000004,45.165,2.9207819999999955,session_end cash+inventory,0.06914039691775085,no,0,188,30.0,30.0024,40,17.18525309696694,16.982,55.06,83,350,3.0,12.0,92,38,4.587500000000006,"[1.1370000000000005, 14.044000000000011]",1.5100000000000193
grid-2999024-m2,lol,grid,2026-09-10T19:06:30.531222+00:00,Liga Portuguesa - Summer 2026 (Playoffs: Playoffs),Dominion Goblins,Bubliki,2,False,4,1,3,9.9968,10.5588,0.562,session_end cash+inventory,0.05621798975672215,yes,0,181,9.99615,10.001800000000001,24,140.3874662092884,140.757,11.353549000000001,20,527,3.0,7.0,74,10,3.0649999999999977,"[2.0330000000000155, 4.2760000000000105]",0.5339999999999918
grid-2999024-m3,lol,grid,2026-09-10T19:52:49.935877+00:00,Liga Portuguesa - Summer 2026 (Playoffs: Playoffs),Bubliki,Dominion Goblins,3,True,7,4,3,22.6436,21.707,-0.9366000000000021,session_end cash+inventory,-0.041362680845802,"no,yes",0,296,9.999,10.0031,37,88.61519451041788,30.998,46.484194,74,531,3.0,12.0,129,57,396.04100000000005,"[394.039, 400.03200000000004]",2.0020000000000664
grid-2999024-m4,lol,grid,2026-09-10T21:01:24.830624+00:00,Liga Portuguesa - Summer 2026 (Playoffs: Playoffs),Dominion Goblins,Bubliki,4,False,5,3,2,26.316200000000002,26.714100000000002,0.3978999999999982,session_end cash+inventory,0.015119964128559525,yes,0,462,10.0008,10.0035,41,15.94614008489994,16.9985,32.98,79,325,3.0,11.0,85,27,10.033999999999992,"[-13.0, 13.033000000000015]",2.9990000000000236
