dir,train_prior,live_prior,train_mid0,live_first_mid,live_first_model_second,diff_c,flip_diff_c
grid-2987019-m4,0.435,0.385,0.435,0.385,50,-4.999999999999999,-17.999999999999993
grid-2987019-m5,0.575,0.635,0.575,0.58,82,6.000000000000005,20.999999999999996
grid-2987021-m1,0.475,0.475,0.475,0.46499999999999997,74,0.0,-5.000000000000004
grid-2987021-m2,0.595,0.565,0.595,0.585,78,-3.0000000000000027,15.999999999999993
grid-2987021-m3,0.455,0.445,0.455,0.485,80,-1.0000000000000009,-9.999999999999993
grid-2987020-m2,0.5700000000000001,0.545,0.5700000000000001,0.555,82,-2.500000000000002,11.50000000000001
grid-2987020-m3,0.46499999999999997,0.485,0.46499999999999997,0.475,82,2.0000000000000018,-5.000000000000004
grid-2987020-m4,0.515,0.515,0.515,0.505,81,0.0,3.0000000000000027
grid-2987004-m1,0.415,0.425,0.415,0.415,82,1.0000000000000009,-15.999999999999998
grid-2987004-m2,0.495,0.475,0.495,0.525,76,-2.0000000000000018,-3.0000000000000027
grid-2987004-m3,0.435,0.465,0.435,0.435,73,3.0000000000000027,-9.999999999999993
grid-2987004-m4,0.46499999999999997,0.475,0.46499999999999997,0.365,94,1.0000000000000009,-6.000000000000005
grid-2987005-m1,0.575,0.555,0.575,0.565,86,-1.9999999999999907,13.0
grid-2987005-m2,0.46499999999999997,0.455,0.46499999999999997,0.445,75,-0.9999999999999953,-8.000000000000002
grid-2987005-m3,0.585,0.565,0.585,0.615,48,-2.0000000000000018,14.999999999999991
grid-2987005-m4,0.455,0.465,0.455,0.425,78,1.0000000000000009,-7.99999999999999
grid-2987006-m1,0.555,0.585,0.555,0.565,83,2.9999999999999916,14.000000000000002
grid-2987006-m2,0.485,0.455,0.485,0.475,78,-2.9999999999999973,-6.0
grid-2987006-m3,0.505,0.485,0.505,0.525,78,-2.0000000000000018,-1.0000000000000009
grid-2987006-m4,0.575,0.575,0.575,0.565,75,0.0,14.999999999999991
